Date,Predicted,Actual
2018-09-28,0.4878115653991699,0.41
2018-10-01,0.5645126700401306,0.46
2018-10-03,0.4526810050010681,0.52
2018-10-04,0.5552003979682922,0.47
2018-10-05,0.5131973028182983,0.48
2018-10-08,0.5075930953025818,0.56
2018-10-09,0.5111681222915649,0.52
2018-10-10,0.46132776141166687,0.55
2018-10-11,0.5551997423171997,0.5
2018-10-12,0.4730643928050995,0.66
2018-10-15,0.516754686832428,0.51
2018-10-16,0.5256295800209045,0.55
2018-10-17,0.5657137632369995,0.39
2018-10-19,0.5444522500038147,0.3299999999999999
2018-10-22,0.5849102139472961,0.45
2018-10-23,0.5114223957061768,0.53
2018-10-24,0.5351172089576721,0.49
2018-10-25,0.49947798252105713,0.52
2018-10-26,0.49762246012687683,0.48
2018-10-29,0.5515664219856262,0.52
2018-10-30,0.4799674153327942,0.5700000000000001
2018-10-31,0.5065554976463318,0.54
2018-11-01,0.5049145817756653,0.53
2018-11-02,0.4285662770271301,0.49
2018-11-05,0.49466967582702637,0.49
2018-11-06,0.5170462727546692,0.48
2018-11-07,0.5355898141860962,0.52
2018-11-09,0.49657219648361206,0.49
2018-11-12,0.4866560697555542,0.48
2018-11-13,0.5662378072738647,0.48
2018-11-14,0.5624895095825195,0.67
2018-11-15,0.5553171038627625,0.54
2018-11-16,0.5307457447052002,0.54
2018-11-19,0.510237991809845,0.48
2018-11-20,0.4741062521934509,0.49
2018-11-21,0.5138659477233887,0.5
2018-11-22,0.5241329669952393,0.5
2018-11-26,0.4853293001651764,0.5
2018-11-27,0.5584254860877991,0.58
2018-11-28,0.4942746162414551,0.43
2018-11-29,0.5215550065040588,0.5
2018-11-30,0.48677146434783936,0.45
2018-12-03,0.5063160061836243,0.6
2018-12-04,0.4327390789985657,0.5700000000000001
2018-12-05,0.48155125975608826,0.51
2018-12-06,0.5620304942131042,0.51
2018-12-07,0.5225968360900879,0.49
2018-12-10,0.5272447466850281,0.43
2018-12-11,0.5052818655967712,0.53
2018-12-12,0.5083512663841248,0.58
2018-12-13,0.5219316482543945,0.54
2018-12-14,0.6506959199905396,0.53
2018-12-17,0.5578480958938599,0.53
2018-12-18,0.4952857792377472,0.5
2018-12-19,0.491092711687088,0.51
2018-12-20,0.6130570769309998,0.49
2018-12-21,0.5117465853691101,0.5
2018-12-24,0.49840253591537476,0.41
2018-12-26,0.5270170569419861,0.46
2018-12-27,0.536102831363678,0.51
2018-12-28,0.5228181481361389,0.46
2018-12-31,0.4964340329170227,0.67
2019-01-01,0.5531564354896545,0.5
2019-01-02,0.4479774534702301,0.49
2019-01-03,0.5023159384727478,0.5
2019-01-04,0.5039785504341125,0.51
2019-01-07,0.6083900332450867,0.48
2019-01-08,0.572965145111084,0.53
2019-01-09,0.5075718760490417,0.53
2019-01-10,0.47358372807502747,0.59
2019-01-11,0.48655757308006287,0.5
2019-01-14,0.6683954000473022,0.51
2019-01-15,0.4920138418674469,0.52
2019-01-16,0.5072336792945862,0.47
2019-01-17,0.4604495167732239,0.53
2019-01-18,0.479780375957489,0.4
2019-01-21,0.4939368665218353,0.46
2019-01-22,0.49009281396865845,0.46
2019-01-23,0.5151671171188354,0.48
2019-01-24,0.5916457176208496,0.5
2019-01-25,0.4906909465789795,0.51
2019-01-28,0.5173041820526123,0.51
2019-01-29,0.5228566527366638,0.51
2019-01-30,0.5075632929801941,0.48
2019-01-31,0.48670312762260437,0.49
2019-02-01,0.45780178904533386,0.49
2019-02-04,0.4586612284183502,0.48
2019-02-05,0.5136210322380066,0.56
2019-02-06,0.47332409024238586,0.56
2019-02-07,0.5166817307472229,0.49
2019-02-08,0.5075960755348206,0.46
2019-02-11,0.5226078629493713,0.51
2019-02-12,0.4876813590526581,0.47
